ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	S	195500		1200009939	  2	     609,990.96	USD	     551,126.83	EUR	  0.85100		 0.90350	ZU	           0.00	-32,025.35	-32,025.35
			8800	S	195500		1200009965	  2	   1,303,287.86	USD	   1,181,560.77	EUR	  0.85100		 0.90660	ZU	           0.00	-72,464.56	-72,464.56
			8800	S	195500		1200010039	  2	   1,814,123.51	USD	   1,650,670.98	EUR	  0.85100		 0.90990	ZU	           0.00	-106,854.33	-106,854.33
			8800	S	195500		1200010136	  2	      27,360.00	USD	      25,124.69	EUR	  0.85100		 0.91830	ZU	           0.00	-1,841.37	-1,841.37
			8800	S	195500		1200010227	  1	     219,763.65	USD	     195,853.36	EUR	  0.85100		 0.89120	ZU	           0.00	-8,834.79	-8,834.79
			8800	S	195500		1200010386	  3	     998,092.80	USD	     902,774.94	EUR	  0.85100		 0.90450	ZU	           0.00	-53,399.32	-53,399.32
			8800	S	195500		1200010386	  4	     998,092.80	USD	     902,774.94	EUR	  0.85100		 0.90450	ZU	           0.00	-53,399.32	-53,399.32
			8800	S	195500		1200010453	  2	         362.52	USD	         330.58	EUR	  0.85100		 0.91189	ZU	           0.00	-22.08	-22.08
			8800	S	195500		1200010484	  3	   1,090,324.80	USD	     988,052.33	EUR	  0.85100		 0.90620	ZU	           0.00	-60,187.40	-60,187.40
			8800	S	195500		1200010484	  4	   1,090,324.80	USD	     988,052.33	EUR	  0.85100		 0.90620	ZU	           0.00	-60,187.40	-60,187.40
			8800	S	195500		1200010515	  3	     735,741.31	USD	     671,878.96	EUR	  0.85100		 0.91320	ZU	           0.00	-45,764.10	-45,764.10
			8800	S	195500		1200010515	  4	     735,741.31	USD	     671,878.96	EUR	  0.85100		 0.91320	ZU	           0.00	-45,764.10	-45,764.10
			8800	S	195500		1200010597	  1	-33,101.30	USD	-31,065.57	EUR	  0.85100		 0.93850	ZU	           0.00	       2,896.41	       2,896.41
			8800	S	195500		1200010597	  2	-33,101.30	USD	-31,065.57	EUR	  0.85100		 0.93850	ZU	           0.00	       2,896.41	       2,896.41
			8800	S	195500		1200010733	  3	     122,918.68	USD	     116,047.53	EUR	  0.85100		 0.94410	ZU	           0.00	-11,443.90	-11,443.90
			8800	S	195500		1200010733	  4	     122,918.68	USD	     116,047.53	EUR	  0.85100		 0.94410	ZU	           0.00	-11,443.90	-11,443.90
			8800	S	195500		1200010766	  1	-241,123.13	USD	-228,030.14	EUR	  0.85100		 0.94570	ZU	           0.00	      22,834.68	      22,834.68
			8800	S	195500		1200010766	  2	-241,123.13	USD	-228,030.14	EUR	  0.85100		 0.94570	ZU	           0.00	      22,834.68	      22,834.68
			8800	S	195500		1200010800	  1	     240,210.39	USD	     219,047.85	EUR	  0.85100		 0.91190	ZU	           0.00	-14,629.13	-14,629.13
			8800	S	195500		1200010835	  3	   2,061,959.88	USD	   1,922,571.39	EUR	  0.85100		 0.93240	ZU	           0.00	-167,846.32	-167,846.32
			8800	S	195500		1200010835	  4	   2,061,959.88	USD	   1,922,571.39	EUR	  0.85100		 0.93240	ZU	           0.00	-167,846.32	-167,846.32
			8800	S	195500		1200010861	  2	-998,092.80	USD	-902,774.94	EUR	  0.85100		 0.90450	ZU	           0.00	      53,399.32	      53,399.32
			8800	S	195500		1200010953	  2	-1,090,324.80	USD	-988,052.33	EUR	  0.85100		 0.90620	ZU	           0.00	      60,187.40	      60,187.40
			8800	S	195500		1200010984	  2	-735,741.31	USD	-671,878.96	EUR	  0.85100		 0.91320	ZU	           0.00	      45,764.10	      45,764.10
			8800	S	195500		1200011054	  2	-2,061,959.88	USD	-1,922,571.39	EUR	  0.85100		 0.93240	ZU	           0.00	     167,846.32	     167,846.32
			8800	S	195500		1200011080	  1	      33,101.30	USD	      31,065.57	EUR	  0.85100		 0.93850	ZU	           0.00	-2,896.41	-2,896.41
			8800	S	195500		1200011216	  2	-122,918.68	USD	-116,047.53	EUR	  0.85100		 0.94410	ZU	           0.00	      11,443.90	      11,443.90
			8800	S	195500		1200011249	  1	     241,123.13	USD	     228,030.14	EUR	  0.85100		 0.94570	ZU	           0.00	-22,834.68	-22,834.68
			8800	S	195500		1200011291	  1	     896,076.14	USD	     862,562.89	EUR	  0.85100		 0.96260	ZU	           0.00	-100,003.31	-100,003.31
			8800	S	195500		1200011295	  1	     363,941.33	USD	     350,329.92	EUR	  0.85100		 0.96260	ZU	           0.00	-40,616.34	-40,616.34
			8800	S	195500		1200011423	  2	   1,140,967.52	USD	   1,064,750.89	EUR	  0.85100		 0.93320	ZU	           0.00	-93,789.07	-93,789.07
			8800	S	195500		1200011445	  2	   2,998,595.22	USD	   2,787,194.26	EUR	  0.85100		 0.92950	ZU	           0.00	-235,393.79	-235,393.79
			8800	S	195500		1200011509	  1	-37,739.13	USD	-35,588.00	EUR	  0.85100		 0.94300	ZU	           0.00	       3,472.05	       3,472.05
			8800	S	195500		1200011608	  1	-157,326.38	USD	-150,577.08	EUR	  0.85100		 0.95710	ZU	           0.00	      16,692.54	      16,692.54
			8800	S	195500		1200011609	  1	-2,452,266.98	USD	-2,360,061.74	EUR	  0.85100		 0.96240	ZU	           0.00	     273,185.86	     273,185.86
			8800	S	195500		1200011635	  2	         226.67	USD	         218.15	EUR	  0.85100		 0.96241	ZU	           0.00	-25.25	-25.25
			8800	S	195500		1200011692	  1	-58,066.90	USD	-55,552.60	EUR	  0.85100		 0.95670	ZU	           0.00	       6,137.75	       6,137.75
			8800	S	195500		1200011742	  2	      75,522.56	USD	      72,222.22	EUR	  0.85100		 0.95630	ZU	           0.00	-7,952.62	-7,952.62
			8800	S	195500		1200011798	  1	     250,043.26	USD	     236,365.89	EUR	  0.85100		 0.94530	ZU	           0.00	-23,579.41	-23,579.41
			8800	S	195500		1200011918	  2	         100.36	USD	          95.44	EUR	  0.85100		 0.95098	ZU	           0.00	-10.03	-10.03
			8800	S	195500		1200011945	  2	     488,845.28	USD	     457,070.34	EUR	  0.85100		 0.93500	ZU	           0.00	-41,063.67	-41,063.67
			8800	S	195500		1200012034	  2	   1,063,415.06	USD	     989,348.20	EUR	  0.85100		 0.93035	ZU	           0.00	-84,383.42	-84,383.42
			8800	S	195500		1200012050	  2	     861,256.95	USD	     801,701.03	EUR	  0.85100		 0.93085	ZU	           0.00	-68,772.53	-68,772.53
			8800	S	195500		1200012110	  1	     288,839.80	USD	     275,524.29	EUR	  0.85100		 0.95390	ZU	           0.00	-29,722.01	-29,722.01
			8800	S	195500		1200012161	  2	         706.24	USD	         678.06	EUR	  0.85100		 0.96010	ZU	           0.00	-77.05	-77.05
			8800	S	195500		1200012245	  2	     468,896.26	USD	     443,552.42	EUR	  0.85100		 0.94595	ZU	           0.00	-44,522.34	-44,522.34
			8800	S	195500		1200012259	  2	     889,390.19	USD	     847,055.22	EUR	  0.85100		 0.95240	ZU	           0.00	-90,185.37	-90,185.37
			8800	S	195500		1200012317	  2	-100.36	USD	-95.44	EUR	  0.85100		 0.95098	ZU	           0.00	          10.03	          10.03
			8800	S	195500		1200012366	  2	         100.36	USD	          95.44	EUR	  0.85100		 0.95098	ZU	           0.00	-10.03	-10.03
			8800	S	195500		1200012440	  2	     896,102.40	USD	     830,283.68	EUR	  0.85100		 0.92655	ZU	           0.00	-67,701.75	-67,701.75
			8800	S	195500		1200012455	  2	   8,396,948.05	USD	   7,805,383.06	EUR	  0.85100		 0.92955	ZU	           0.00	-659,591.63	-659,591.63
			8800	S	195500		1200012516	  2	     696,919.35	USD	     652,037.74	EUR	  0.85100		 0.93560	ZU	           0.00	-58,960.32	-58,960.32
			8800	S	195500		1200012536	  2	     504,450.34	USD	     471,181.84	EUR	  0.85100		 0.93405	ZU	           0.00	-41,895.28	-41,895.28
			8800	S	195500		1200012602	  2	     108,687.86	USD	     102,764.37	EUR	  0.85100		 0.94550	ZU	           0.00	-10,271.15	-10,271.15
			8800	S	195500		1200012621	  2	     193,848.17	USD	     182,915.13	EUR	  0.85100		 0.94360	ZU	           0.00	-17,950.60	-17,950.60
			8800	S	195500		1200012675	  2	     947,346.53	USD	     897,989.78	EUR	  0.85100		 0.94790	ZU	           0.00	-91,799.16	-91,799.16
			8800	S	195500		1200012696	  2	      59,130.41	USD	      56,020.15	EUR	  0.85100		 0.94740	ZU	           0.00	-5,700.25	-5,700.25
			8800	S	195500		1200012739	  2	     120,091.40	USD	     113,030.03	EUR	  0.85100		 0.94120	ZU	           0.00	-10,832.41	-10,832.41
			8800	S	195500		1200012753	  1	     293,777.06	USD	     272,199.13	EUR	  0.85100		 0.92655	ZU	           0.00	-22,195.25	-22,195.25
			8800	S	195500		1200012872	  2	         116.51	USD	         109.74	EUR	  0.85100		 0.94189	ZU	           0.00	-10.59	-10.59
			8800	S	195500		1200012926	  2	     796,182.42	USD	     752,472.01	EUR	  0.85100		 0.94510	ZU	           0.00	-74,921.85	-74,921.85
			8800	S	195500		1200012943	  2	   2,681,240.89	USD	   2,542,218.55	EUR	  0.85100		 0.94815	ZU	           0.00	-260,486.18	-260,486.18
			8800	S	195500		1200013023	  2	      28,800.40	USD	      27,075.26	EUR	  0.85100		 0.94010	ZU	           0.00	-2,566.16	-2,566.16
			8800	S	195500		1200013025	  2	         119.32	USD	         112.39	EUR	  0.85100		 0.94192	ZU	           0.00	-10.85	-10.85
			8800	S	195500		1200013107	  2	       1,539.56	USD	       1,423.48	EUR	  0.85100		 0.92460	ZU	           0.00	-113.32	-113.32
			8800	S	195500		1200013239	  1	     285,395.95	USD	     268,814.45	EUR	  0.85100		 0.94190	ZU	           0.00	-25,942.88	-25,942.88
			8800	S	195500		1200013349	  2	     962,000.00	USD	     902,404.10	EUR	  0.85100		 0.93805	ZU	           0.00	-83,743.40	-83,743.40
			8800	S	195500		1200013410	  2	      67,457.28	USD	      63,639.20	EUR	  0.85100		 0.94340	ZU	           0.00	-6,233.15	-6,233.15
			8800	S	195500		1200013457	  2	          91.31	USD	          85.72	EUR	  0.85100		 0.93878	ZU	           0.00	-8.02	-8.02
			8800	S	195500		1200013472	  2	     893,226.06	USD	     834,228.48	EUR	  0.85100		 0.93395	ZU	           0.00	-74,094.31	-74,094.31
			8800	S	195500		1200013581	  2	       3,140.19	USD	       2,867.78	EUR	  0.85100		 0.91325	ZU	           0.00	-195.48	-195.48
			8800	S	195500		1200013637	  1	     356,709.38	USD	     333,255.74	EUR	  0.85100		 0.93425	ZU	           0.00	-29,696.54	-29,696.54
			8800	S	195500		1200013727	  2	     943,696.00	USD	     865,369.23	EUR	  0.85100		 0.91700	ZU	           0.00	-62,285.21	-62,285.21
			8800	S	195500		1200013766	  2	     367,809.39	USD	     335,166.31	EUR	  0.85100		 0.91125	ZU	           0.00	-22,161.02	-22,161.02
			8800	S	195500		1200013808	  2	     977,283.01	USD	     897,048.07	EUR	  0.85100		 0.91790	ZU	           0.00	-65,381.55	-65,381.55
			8800	S	195500		1200013825	  2	   1,082,920.42	USD	     996,449.22	EUR	  0.85100		 0.92015	ZU	           0.00	-74,885.41	-74,885.41
			8800	S	195500		1200013937	  1	-119,975.00	USD	-107,053.69	EUR	  0.85100		 0.89230	ZU	           0.00	       4,955.13	       4,955.13
			8800	S	195500		1200013955	  1	-18,066.50	USD	-16,081.89	EUR	  0.85100		 0.89015	ZU	           0.00	         707.32	         707.32
			8800	S	195500		1200013986	  2	      60,534.50	USD	      54,087.58	EUR	  0.85100		 0.89350	ZU	           0.00	-2,572.80	-2,572.80
			8800	S	195500		1200014003	  2	       7,357.00	USD	       6,581.20	EUR	  0.85100		 0.89455	ZU	           0.00	-320.40	-320.40
			8800	S	195500		1200014039	  2	      24,354.00	USD	      21,795.61	EUR	  0.85100		 0.89495	ZU	           0.00	-1,070.39	-1,070.39
			8800	S	195500		1200014054	  1	     351,403.17	USD	     322,482.69	EUR	  0.85100		 0.91770	ZU	           0.00	-23,439.07	-23,439.07
			8800	S	195500		1200014174	  1	-17,426.30	USD	-15,546.00	EUR	  0.85100		 0.89210	ZU	           0.00	         716.24	         716.24
			8800	S	195500		1200014226	  2	     615,431.16	USD	     546,102.84	EUR	  0.85100		 0.88735	ZU	           0.00	-22,371.76	-22,371.76
			8800	S	195500		1200014247	  2	     727,519.58	USD	     645,819.13	EUR	  0.85100		 0.88770	ZU	           0.00	-26,700.95	-26,700.95
			8800	S	195500		1200014315	  2	     954,160.90	USD	     851,779.44	EUR	  0.85100		 0.89270	ZU	           0.00	-39,789.81	-39,789.81
			8800	S	195500		1200014381	  1	-1,616,257.86	USD	-1,449,864.11	EUR	  0.85100		 0.89705	ZU	           0.00	      74,430.86	      74,430.86
			8800	S	195500		1200014422	  2	     895,911.95	USD	     803,677.81	EUR	  0.85100		 0.89705	ZU	           0.00	-41,257.95	-41,257.95
			8800	S	195500		1200014484	  2	         727.56	USD	         643.24	EUR	  0.85100		 0.88411	ZU	           0.00	-24.09	-24.09
			8800	S	195500		1200014499	  1	-11,198,194.80	USD	-9,797,860.54	EUR	  0.85100		 0.87495	ZU	           0.00	     268,211.92	     268,211.92
			8800	S	195500		1200014499	  2	  11,198,194.80	USD	   9,797,860.54	EUR	  0.85100		 0.87495	ZU	           0.00	-268,211.92	-268,211.92
			8800	S	195500		1200014501	  1	-22,098,055.20	USD	-19,334,693.40	EUR	  0.85100		 0.87495	ZU	           0.00	     529,278.33	     529,278.33
			8800	S	195500		1200014501	  2	  22,098,055.20	USD	  19,334,693.40	EUR	  0.85100		 0.87495	ZU	           0.00	-529,278.33	-529,278.33
			8800	S	195500		1200014537	  1	     378,813.99	USD	     337,106.57	EUR	  0.85100		 0.88990	ZU	           0.00	-14,736.38	-14,736.38
			8800	S	195500		1200014559	  1	       2,021.90	USD	       1,769.06	EUR	  0.85100		 0.87495	ZU	           0.00	-48.43	-48.43
			8800	S	195500		1200014560	  1	       4,978.20	USD	       4,355.68	EUR	  0.85100		 0.87495	ZU	           0.00	-119.24	-119.24
			8800	S	195500		1200014563	  1	     363,941.33	USD	     319,886.23	EUR	  0.85100		 0.87895	ZU	           0.00	-10,172.65	-10,172.65
			8800	S	195500		1200014564	  1	     896,076.14	USD	     787,606.12	EUR	  0.85100		 0.87895	ZU	           0.00	-25,046.54	-25,046.54
			8800	S	195500		1200014567	  1	  11,198,194.80	USD	   9,797,860.54	EUR	  0.85100		 0.87495	ZU	           0.00	-268,211.92	-268,211.92
			8800	S	195500		1200014567	  2	-11,198,194.80	USD	-9,797,860.54	EUR	  0.85100		 0.87495	ZU	           0.00	     268,211.92	     268,211.92
			8800	S	195500		1200014568	  1	  22,098,055.20	USD	  19,334,693.40	EUR	  0.85100		 0.87495	ZU	           0.00	-529,278.33	-529,278.33
			8800	S	195500		1200014568	  2	-22,098,055.20	USD	-19,334,693.40	EUR	  0.85100		 0.87495	ZU	           0.00	     529,278.33	     529,278.33
			8800	S	195500		1200014720	  2	   1,183,336.88	USD	   1,034,413.93	EUR	  0.85100		 0.87415	ZU	           0.00	-27,395.85	-27,395.85
			8800	S	195500		1200014742	  2	   2,717,629.01	USD	   2,379,691.84	EUR	  0.85100		 0.87565	ZU	           0.00	-66,993.23	-66,993.23
			8800	S	195500		1200014805	  2	     909,854.40	USD	     786,887.58	EUR	  0.85100		 0.86485	ZU	           0.00	-12,602.72	-12,602.72
			8800	S	195500		1200014853	  2	     115,523.10	USD	      99,066.83	EUR	  0.85100		 0.85755	ZU	           0.00	-756.83	-756.83
			8800	S	195500		1200014897	  2	       7,730.80	USD	       6,634.19	EUR	  0.85100		 0.85815	ZU	           0.00	-55.29	-55.29
			8800	S	195500		1200014972	  1	     401,305.21	USD	     351,121.99	EUR	  0.85100		 0.87495	ZU	           0.00	-9,611.80	-9,611.80
			8800	S	195500		9500004853	  2	  33,296,250.00	USD	  27,352,869.38	EUR	  0.85100		 0.82150	ZW	           0.00	     982,194.32	     982,194.32
			8800	S	195500		9500005126	  2	   2,214,200.62	USD	   2,214,200.62	EUR	  0.85100		 1.00000	ZW	           0.00	-329,918.89	-329,918.89
			8800	S	195500		9500007363	  5	-2,214,200.62	USD	-0.01	EUR	  0.85100			ZW	           0.00	-1,884,281.72	-1,884,281.72
			8800	S	195500		1200007883	  2	   1,305,827.00	CAD	     905,972.09	EUR	  0.68442		 0.69379	ZU	           0.00	-12,243.64	-12,243.64
			8800	S	195500		1200007938	  1	-1,305,827.00	CAD	-905,972.09	EUR	  0.68442		 0.69379	ZU	           0.00	      12,243.64	      12,243.64
			8800	S	195500		1200012134	  2	      17,778.57	CAD	      12,642.24	EUR	  0.68442		 0.71109	ZU	           0.00	-474.31	-474.31
			8800	S	195500		1200012147	  1	-17,778.57	CAD	-12,642.24	EUR	  0.68442		 0.71109	ZU	           0.00	         474.31	         474.31
			8800	S	195500		1200012152	  2	      17,778.57	CAD	      12,769.86	EUR	  0.68442		 0.71827	ZU	           0.00	-601.93	-601.93
			8800	S	195500		1200012192	  1	-17,778.57	CAD	-12,769.86	EUR	  0.68442		 0.71827	ZU	           0.00	         601.93	         601.93
			8800	S	195500		100000860	  5	       2,004.63	USD	       1,780.11	EUR	  0.85100		 0.88800	SA	           0.00	-74.17	-74.17
			8800	S	195500		1200003707	  1	           2.33	USD	           2.08	EUR	  0.85100		 0.89270	ZU	           0.00	-0.10	-0.10
			8800	S	195500		1200004299	  1	           2.40	USD	           2.19	EUR	  0.85100		 0.91250	ZU	           0.00	-0.15	-0.15
			8800	S	195500		1200004702	  2	      90,000.00	USD	      83,313.00	EUR	  0.85100		 0.92570	ZU	           0.00	-6,723.12	-6,723.12
			8800	S	195500		1200004922	  1	           2.40	USD	           2.27	EUR	  0.85100		 0.94583	ZU	           0.00	-0.23	-0.23
			8800	S	195500		1200005485	  1	          59.65	USD	          54.93	EUR	  0.85100		 0.92087	ZU	           0.00	-4.17	-4.17
			8800	S	195500		1200005738	  2	     300,000.00	USD	     269,220.00	EUR	  0.85100		 0.89740	ZU	           0.00	-13,920.41	-13,920.41
			8800	S	195500		1200005903	  2	      90,000.00	USD	      81,711.00	EUR	  0.85100		 0.90790	ZU	           0.00	-5,121.12	-5,121.12
			8800	S	195500		1200006006	  1	         129.07	USD	         119.14	EUR	  0.85100		 0.92307	ZU	           0.00	-9.30	-9.30
			8800	S	195500		1200006486	  2	      65,577.00	USD	      58,711.09	EUR	  0.85100		 0.89530	ZU	           0.00	-2,905.15	-2,905.15
			8800	S	195500		1200006593	  1	         337.43	USD	         310.50	EUR	  0.85100		 0.92019	ZU	           0.00	-23.35	-23.35
			8800	S	195500		1200007076	  1	         702.30	USD	         617.11	EUR	  0.85100		 0.87870	ZU	           0.00	-19.45	-19.45
			8800	S	195500		1200007473	  2	      50,000.00	USD	      44,615.00	EUR	  0.85100		 0.89230	ZU	           0.00	-2,065.07	-2,065.07
			8800	S	195500		1200007515	  2	         111.56	USD	          99.98	EUR	  0.85100		 0.89620	ZU	           0.00	-5.04	-5.04
			8800	S	195500		1200007595	  1	         747.85	USD	         659.60	EUR	  0.85100		 0.88200	ZU	           0.00	-23.18	-23.18
			8800	S	195500		1200008139	  1	         810.55	USD	         727.71	EUR	  0.85100		 0.89780	ZU	           0.00	-37.93	-37.93
			8800	S	195500		1200008642	  1	         830.82	USD	         750.31	EUR	  0.85100		 0.90310	ZU	           0.00	-43.28	-43.28
			8800	S	195500		1200008713	  2	-30.91	USD	-28.07	EUR	  0.85100		 0.90812	ZU	           0.00	           1.77	           1.77
			8800	S	195500		1200009156	  1	         877.99	USD	         785.19	EUR	  0.85100		 0.89430	ZU	           0.00	-38.02	-38.02
			8800	S	195500		1200009721	  1	         894.15	USD	         801.43	EUR	  0.85100		 0.89630	ZU	           0.00	-40.51	-40.51
			8800	S	195500		1200010232	  1	         866.59	USD	         772.31	EUR	  0.85100		 0.89121	ZU	           0.00	-34.84	-34.84
			8800	S	195500		1200010455	  2	-9.17	USD	-8.36	EUR	  0.85100		 0.91167	ZU	           0.00	           0.56	           0.56
			8800	S	195500		1200010805	  1	         901.93	USD	         822.47	EUR	  0.85100		 0.91190	ZU	           0.00	-54.93	-54.93
			8800	S	195500		1200011636	  2	         227.87	USD	         219.30	EUR	  0.85100		 0.96239	ZU	           0.00	-25.38	-25.38
			8800	S	195500		1200011767	  2	      17,779.00	USD	      16,959.39	EUR	  0.85100		 0.95390	ZU	           0.00	-1,829.49	-1,829.49
			8800	S	195500		1200011785	  1	-17,779.00	USD	-16,959.39	EUR	  0.85100		 0.95390	ZU	           0.00	       1,829.49	       1,829.49
			8800	S	195500		1200011803	  1	         910.06	USD	         860.28	EUR	  0.85100		 0.94530	ZU	           0.00	-85.82	-85.82
			8800	S	195500		1200011920	  2	         209.26	USD	         199.01	EUR	  0.85100		 0.95102	ZU	           0.00	-20.93	-20.93
			8800	S	195500		1200012116	  1	       1,027.69	USD	         980.31	EUR	  0.85100		 0.95390	ZU	           0.00	-105.75	-105.75
			8800	S	195500		1200012319	  2	-209.26	USD	-199.01	EUR	  0.85100		 0.95102	ZU	           0.00	          20.93	          20.93
			8800	S	195500		1200012368	  2	         209.26	USD	         199.01	EUR	  0.85100		 0.95102	ZU	           0.00	-20.93	-20.93
			8800	S	195500		1200012759	  1	       1,034.38	USD	         958.40	EUR	  0.85100		 0.92655	ZU	           0.00	-78.14	-78.14
			8800	S	195500		1200012874	  2	         208.10	USD	         196.01	EUR	  0.85100		 0.94190	ZU	           0.00	-18.92	-18.92
			8800	S	195500		1200013027	  2	         211.80	USD	         199.49	EUR	  0.85100		 0.94188	ZU	           0.00	-19.25	-19.25
			8800	S	195500		1200013245	  1	         936.94	USD	         882.50	EUR	  0.85100		 0.94190	ZU	           0.00	-85.17	-85.17
			8800	S	195500		1200013459	  2	         203.89	USD	         191.41	EUR	  0.85100		 0.93879	ZU	           0.00	-17.90	-17.90
			8800	S	195500		1200013643	  1	       1,145.49	USD	       1,070.17	EUR	  0.85100		 0.93425	ZU	           0.00	-95.36	-95.36
			8800	S	195500		1200014060	  1	       1,116.35	USD	       1,024.47	EUR	  0.85100		 0.91770	ZU	           0.00	-74.46	-74.46
			8800	S	195500		1200014543	  1	       1,183.04	USD	       1,052.79	EUR	  0.85100		 0.88990	ZU	           0.00	-46.02	-46.02
			8800	S	195500		1200014978	  1	       1,239.81	USD	       1,084.77	EUR	  0.85100		 0.87495	ZU	           0.00	-29.69	-29.69
			8800	S	195500		1200007512	  2	         128.00	USD	         114.71	EUR	  0.85100		 0.89617	ZU	           0.00	-5.78	-5.78
			8800	S	195500		1200008137	  1	           0.02	USD	           0.02	EUR	  0.85100		 1.00000	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200008640	  1	           0.11	USD	           0.10	EUR	  0.85100		 0.90909	ZU	           0.00	-0.01	-0.01
			8800	S	195500		1200008714	  2	          64.00	USD	          58.11	EUR	  0.85100		 0.90797	ZU	           0.00	-3.65	-3.65
			8800	S	195500		1200009154	  1	           0.15	USD	           0.13	EUR	  0.85100		 0.86667	ZU	           0.00	           0.00	           0.00
			8800	S	195500		1200009719	  1	           0.21	USD	           0.19	EUR	  0.85100		 0.90476	ZU	           0.00	-0.01	-0.01
			8800	S	195500		1200010230	  1	           0.20	USD	           0.18	EUR	  0.85100		 0.90000	ZU	           0.00	-0.01	-0.01
			8800	S	195500		1200010452	  2	          96.00	USD	          87.54	EUR	  0.85100		 0.91188	ZU	           0.00	-5.84	-5.84
			8800	S	195500		1200010803	  1	           0.21	USD	           0.19	EUR	  0.85100		 0.90476	ZU	           0.00	-0.01	-0.01
			8800	S	195500		1200011633	  2	          64.00	USD	          61.59	EUR	  0.85100		 0.96234	ZU	           0.00	-7.13	-7.13
			8800	S	195500		1200011801	  1	           0.36	USD	           0.34	EUR	  0.85100		 0.94444	ZU	           0.00	-0.03	-0.03
			8800	S	195500		1200011916	  2	           6.00	USD	           5.71	EUR	  0.85100		 0.95167	ZU	           0.00	-0.60	-0.60
			8800	S	195500		1200012113	  1	           0.44	USD	           0.42	EUR	  0.85100		 0.95455	ZU	           0.00	-0.05	-0.05
			8800	S	195500		1200012315	  2	-6.00	USD	-5.71	EUR	  0.85100		 0.95167	ZU	           0.00	           0.60	           0.60
			8800	S	195500		1200012364	  2	           6.00	USD	           5.71	EUR	  0.85100		 0.95167	ZU	           0.00	-0.60	-0.60
			8800	S	195500		1200012756	  1	           0.53	USD	           0.49	EUR	  0.85100		 0.92453	ZU	           0.00	-0.04	-0.04
			8800	S	195500		1200013242	  1	           0.48	USD	           0.45	EUR	  0.85100		 0.93750	ZU	           0.00	-0.04	-0.04
			8800	S	195500		1200013640	  1	           0.58	USD	           0.54	EUR	  0.85100		 0.93103	ZU	           0.00	-0.05	-0.05
			8800	S	195500		1200014057	  1	           0.57	USD	           0.52	EUR	  0.85100		 0.91228	ZU	           0.00	-0.03	-0.03
			8800	S	195500		1200014540	  1	           0.60	USD	           0.53	EUR	  0.85100		 0.88333	ZU	           0.00	-0.02	-0.02
			8800	S	195500		1200014975	  1	           0.63	USD	           0.55	EUR	  0.85100		 0.87302	ZU	           0.00	-0.01	-0.01
			8800	S	195500		100000867	 22	  16,252,784.85	USD	  14,432,472.95	EUR	  0.85100		 0.88800	SA	           0.00	-601,375.03	-601,375.03
			8800	S	195500		100000913	  2	-16,252,784.85	USD	-14,432,472.95	EUR	  0.85100		 0.88800	SA	           0.00	     601,375.03	     601,375.03
			8800	S	195500		1200009827	  1	     150,000.00	AUD	     102,056.20	EUR	  0.67968		 0.68037	ZU	           0.00	-103.58	-103.58
			8800	S	195500		1200009856	  1	-150,000.00	AUD	-102,056.20	EUR	  0.67968		 0.68037	ZU	           0.00	         103.58	         103.58
			8800	S	195500		1200007233	  2	     218,612.00	USD	     189,711.49	EUR	  0.85100		 0.86780	ZU	           0.00	-3,672.97	-3,672.97
			8800	S	195500		1200007287	  1	-1,200,827.60	USD	-1,052,285.23	EUR	  0.85100		 0.87630	ZU	           0.00	      30,382.57	      30,382.57
			8800	S	195500		1200007301	  1	-867,857.87	USD	-760,937.78	EUR	  0.85100		 0.87680	ZU	           0.00	      22,391.91	      22,391.91
			8800	S	195500		1200007334	  1	-1,376,536.23	USD	-1,209,562.39	EUR	  0.85100		 0.87870	ZU	           0.00	      38,131.92	      38,131.92
			8800	S	195500		1200007350	  1	-427,696.37	USD	-374,106.01	EUR	  0.85100		 0.87470	ZU	           0.00	      10,136.98	      10,136.98
			8800	S	195500		1200007378	  1	-3,234,543.48	USD	-2,859,012.98	EUR	  0.85100		 0.88390	ZU	           0.00	     106,420.86	     106,420.86
			8800	S	195500		1200007416	  2	   5,225,863.91	USD	   4,611,824.90	EUR	  0.85100		 0.88250	ZU	           0.00	-164,621.78	-164,621.78
			8800	S	195500		1200007433	  2	   1,719,084.96	USD	   1,523,968.82	EUR	  0.85100		 0.88650	ZU	           0.00	-61,029.85	-61,029.85
			8800	S	195500		1200007482	  1	-896,094.50	USD	-798,240.98	EUR	  0.85100		 0.89080	ZU	           0.00	      35,665.77	      35,665.77
			8800	S	195500		1200007514	  2	         602.71	USD	         540.15	EUR	  0.85100		 0.89620	ZU	           0.00	-27.24	-27.24
			8800	S	195500		1200007544	  1	-459,518.00	USD	-411,176.71	EUR	  0.85100		 0.89480	ZU	           0.00	      20,127.51	      20,127.51
