ECC6 ECP Production                                                    Foreign Currency Valuation                                                    Time 08:47:35     Date  02.08.2017
Brisbane                                                                                                                                     FAGL_FC_VALUATION/JGRABKA Page           1
Key Date 31.07.17
Valuation in Company code currency (10)
Method Z001 Rio Tinto Foreign Currency Revaluation
Ledger Group 0L


		Ld	CoCd	AccTy	G/L	Account Nu	DocumentNo	Itm	    Amount in FC	Crcy	  Amount CC.Curr	CC.Curr	Exch. Rat	S	 Exch.rate	Typ	  Old Difference	  New Difference	   Amount Posted
			8800	S	195500		1200005960	  1	-545,541.94	USD	-494,751.99	EUR	  0.85100		 0.90690	ZU	           0.00	      30,496.54	      30,496.54
			8800	S	195500		1200005985	  1	-210,833.64	USD	-192,807.36	EUR	  0.85100		 0.91450	ZU	           0.00	      13,388.22	      13,388.22
			8800	S	195500		1200006060	  1	-344,075.00	USD	-316,617.82	EUR	  0.85100		 0.92020	ZU	           0.00	      23,810.46	      23,810.46
			8800	S	195500		1200006135	  2	     784,400.80	USD	     723,374.42	EUR	  0.85100		 0.92220	ZU	           0.00	-55,850.40	-55,850.40
			8800	S	195500		1200006249	  2	      49,863.00	USD	      45,245.69	EUR	  0.85100		 0.90740	ZU	           0.00	-2,812.34	-2,812.34
			8800	S	195500		1200006273	  1	-660,150.89	USD	-591,627.23	EUR	  0.85100		 0.89620	ZU	           0.00	      29,839.72	      29,839.72
			8800	S	195500		1200006352	  2	   3,899,205.39	USD	   3,519,032.86	EUR	  0.85100		 0.90250	ZU	           0.00	-200,814.35	-200,814.35
			8800	S	195500		1200006369	  1	-3,987,805.10	USD	-3,521,231.90	EUR	  0.85100		 0.88300	ZU	           0.00	     127,615.16	     127,615.16
			8800	S	195500		1200006424	  1	-5,989,632.35	USD	-5,343,351.02	EUR	  0.85100		 0.89210	ZU	           0.00	     246,181.99	     246,181.99
			8800	S	195500		1200006468	  2	   2,301,050.38	USD	   2,060,130.41	EUR	  0.85100		 0.89530	ZU	           0.00	-101,939.65	-101,939.65
			8800	S	195500		1200006511	  2	      15,867.26	USD	      14,177.40	EUR	  0.85100		 0.89350	ZU	           0.00	-674.38	-674.38
			8800	S	195500		1200006537	  1	-3,127,632.72	USD	-2,776,712.33	EUR	  0.85100		 0.88780	ZU	           0.00	     115,101.12	     115,101.12
			8800	S	195500		1200006574	  1	-3,297,171.33	USD	-2,913,050.87	EUR	  0.85100		 0.88350	ZU	           0.00	     107,162.53	     107,162.53
			8800	S	195500		1200006641	  1	-100,209.64	USD	-88,054.21	EUR	  0.85100		 0.87870	ZU	           0.00	       2,775.94	       2,775.94
			8800	S	195500		1200006725	  1	-145,848.60	USD	-128,011.32	EUR	  0.85100		 0.87770	ZU	           0.00	       3,894.36	       3,894.36
			8800	S	195500		1200006743	  1	-1,522,598.14	USD	-1,333,948.23	EUR	  0.85100		 0.87610	ZU	           0.00	      38,219.27	      38,219.27
			8800	S	195500		1200006763	  2	   2,169,558.93	USD	   1,907,259.26	EUR	  0.85100		 0.87910	ZU	           0.00	-60,967.55	-60,967.55
			8800	S	195500		1200006819	  2	     581,950.60	USD	     511,592.77	EUR	  0.85100		 0.87910	ZU	           0.00	-16,353.60	-16,353.60
			8800	S	195500		1200006840	  2	      22,969.04	USD	      20,350.57	EUR	  0.85100		 0.88600	ZU	           0.00	-803.95	-803.95
			8800	S	195500		1200006898	  1	-1,624,513.56	USD	-1,439,806.37	EUR	  0.85100		 0.88630	ZU	           0.00	      57,347.53	      57,347.53
			8800	S	195500		1200006924	  1	-1,346,585.90	USD	-1,183,783.66	EUR	  0.85100		 0.87910	ZU	           0.00	      37,840.88	      37,840.88
			8800	S	195500		1200006947	  2	   2,872,307.14	USD	   2,535,959.97	EUR	  0.85100		 0.88290	ZU	           0.00	-91,630.48	-91,630.48
			8800	S	195500		1200007002	  1	-407,491.23	USD	-360,792.74	EUR	  0.85100		 0.88540	ZU	           0.00	      14,018.25	      14,018.25
			8800	S	195500		1200007026	  1	-823,198.75	USD	-727,049.14	EUR	  0.85100		 0.88320	ZU	           0.00	      26,508.12	      26,508.12
			8800	S	195500		1200007113	  1	-1,442,825.20	USD	-1,277,044.58	EUR	  0.85100		 0.88510	ZU	           0.00	      49,202.29	      49,202.29
			8800	S	195500		1200007143	  1	-3,074,331.30	USD	-2,728,776.46	EUR	  0.85100		 0.88760	ZU	           0.00	     112,524.68	     112,524.68
			8800	S	195500		100000921	  2	  13,170,821.74	USD	  12,577,263.77	EUR	  0.85100		 0.95493	SA	           0.00	-1,368,912.29	-1,368,912.29
			8800	S	195500		100012385	  1	     358,703.70	USD	     312,663.94	EUR	  0.85100		 0.87165	AB	           0.00	-7,407.58	-7,407.58
			8800	S	195500		1200004330	  1	     896,076.14	USD	     820,895.35	EUR	  0.85100		 0.91610	ZU	           0.00	-58,335.77	-58,335.77
			8800	S	195500		1200004334	  1	     363,941.33	USD	     333,406.65	EUR	  0.85100		 0.91610	ZU	           0.00	-23,693.07	-23,693.07
			8800	S	195500		1200004491	  1	  11,402,579.62	USD	  10,416,256.48	EUR	  0.85100		 0.91350	ZU	           0.00	-712,676.65	-712,676.65
			8800	S	195500		1200004593	  2	     394,013.59	USD	     357,409.73	EUR	  0.85100		 0.90710	ZU	           0.00	-22,104.70	-22,104.70
			8800	S	195500		1200004629	  2	     217,657.00	USD	     199,504.41	EUR	  0.85100		 0.91660	ZU	           0.00	-14,278.60	-14,278.60
			8800	S	195500		1200004664	  2	  11,022,119.38	USD	  10,078,625.96	EUR	  0.85100		 0.91440	ZU	           0.00	-698,817.28	-698,817.28
			8800	S	195500		1200004863	  2	   1,213,164.00	USD	   1,104,707.14	EUR	  0.85100		 0.91060	ZU	           0.00	-72,306.22	-72,306.22
			8800	S	195500		1200004879	  2	     312,706.92	USD	     286,470.81	EUR	  0.85100		 0.91610	ZU	           0.00	-20,357.64	-20,357.64
			8800	S	195500		1200004913	  1	      14,096.57	USD	      13,348.04	EUR	  0.85100		 0.94690	ZU	           0.00	-1,351.88	-1,351.88
			8800	S	195500		1200004964	  1	-199,023.72	USD	-182,385.34	EUR	  0.85100		 0.91640	ZU	           0.00	      13,016.42	      13,016.42
			8800	S	195500		1200005154	  2	     162,775.80	USD	     150,242.06	EUR	  0.85100		 0.92300	ZU	           0.00	-11,720.07	-11,720.07
			8800	S	195500		1200005274	  2	   1,285,945.20	USD	   1,179,340.34	EUR	  0.85100		 0.91710	ZU	           0.00	-85,002.71	-85,002.71
			8800	S	195500		1200005307	  2	   1,001,469.80	USD	     918,247.66	EUR	  0.85100		 0.91690	ZU	           0.00	-65,998.22	-65,998.22
			8800	S	195500		1200005477	  1	      37,792.57	USD	      34,803.18	EUR	  0.85100		 0.92090	ZU	           0.00	-2,641.75	-2,641.75
			8800	S	195500		1200005539	  2	   1,871,654.58	USD	   1,727,724.34	EUR	  0.85100		 0.92310	ZU	           0.00	-134,948.82	-134,948.82
			8800	S	195500		1200005595	  2	   7,158,373.20	USD	   6,476,896.07	EUR	  0.85100		 0.90480	ZU	           0.00	-385,130.16	-385,130.16
			8800	S	195500		1200005660	  2	   1,366,892.75	USD	   1,207,923.12	EUR	  0.85100		 0.88370	ZU	           0.00	-44,699.24	-44,699.24
			8800	S	195500		1200005688	  2	   7,255,407.78	USD	   6,465,293.87	EUR	  0.85100		 0.89110	ZU	           0.00	-290,951.67	-290,951.67
			8800	S	195500		1200005716	  1	-49,998.00	USD	-44,003.24	EUR	  0.85100		 0.88010	ZU	           0.00	       1,455.01	       1,455.01
			8800	S	195500		1200005767	  2	      43,291.92	USD	      38,867.49	EUR	  0.85100		 0.89780	ZU	           0.00	-2,026.12	-2,026.12
			8800	S	195500		1200005796	  2	     149,521.68	USD	     134,210.66	EUR	  0.85100		 0.89760	ZU	           0.00	-6,967.91	-6,967.91
			8800	S	195500		1200005859	  1	       9,375.43	USD	       8,510.08	EUR	  0.85100		 0.90770	ZU	           0.00	-531.60	-531.60
			8800	S	195500		1200005899	  2	      33,565.56	USD	      30,474.17	EUR	  0.85100		 0.90790	ZU	           0.00	-1,909.92	-1,909.92
			8800	S	195500		1200005998	  1	      56,296.44	USD	      51,967.24	EUR	  0.85100		 0.92310	ZU	           0.00	-4,059.05	-4,059.05
			8800	S	195500		1200006106	  2	   1,133,707.00	USD	   1,045,277.85	EUR	  0.85100		 0.92200	ZU	           0.00	-80,494.73	-80,494.73
			8800	S	195500		1200006134	  2	   3,338,568.69	USD	   3,078,828.05	EUR	  0.85100		 0.92220	ZU	           0.00	-237,710.61	-237,710.61
			8800	S	195500		1200006224	  2	     210,554.76	USD	     190,952.11	EUR	  0.85100		 0.90690	ZU	           0.00	-11,770.29	-11,770.29
			8800	S	195500		1200006248	  2	  18,927,826.96	USD	  17,175,110.18	EUR	  0.85100		 0.90740	ZU	           0.00	-1,067,555.05	-1,067,555.05
			8800	S	195500		1200006260	  1	-14,582.52	USD	-13,418.83	EUR	  0.85100		 0.92020	ZU	           0.00	       1,009.13	       1,009.13
			8800	S	195500		1200006467	  2	   3,516,564.19	USD	   3,148,379.92	EUR	  0.85100		 0.89530	ZU	           0.00	-155,788.55	-155,788.55
			8800	S	195500		1200006586	  1	      73,592.92	USD	      67,720.20	EUR	  0.85100		 0.92020	ZU	           0.00	-5,092.72	-5,092.72
			8800	S	195500		1200006723	  2	     636,331.56	USD	     558,508.21	EUR	  0.85100		 0.87770	ZU	           0.00	-16,990.91	-16,990.91
			8800	S	195500		1200006741	  2	     831,383.13	USD	     728,374.76	EUR	  0.85100		 0.87610	ZU	           0.00	-20,868.84	-20,868.84
			8800	S	195500		1200006762	  2	   2,358,350.00	USD	   2,073,225.48	EUR	  0.85100		 0.87910	ZU	           0.00	-66,272.82	-66,272.82
			8800	S	195500		1200006818	  2	     626,253.94	USD	     550,539.84	EUR	  0.85100		 0.87910	ZU	           0.00	-17,598.58	-17,598.58
			8800	S	195500		1200006839	  2	     390,557.00	USD	     346,033.50	EUR	  0.85100		 0.88600	ZU	           0.00	-13,670.02	-13,670.02
			8800	S	195500		1200006923	  2	      63,974.96	USD	      56,240.39	EUR	  0.85100		 0.87910	ZU	           0.00	-1,797.79	-1,797.79
			8800	S	195500		1200006948	  2	   1,148,470.53	USD	   1,013,984.63	EUR	  0.85100		 0.88290	ZU	           0.00	-36,637.76	-36,637.76
			8800	S	195500		1200007001	  2	      15,577.57	USD	      13,792.38	EUR	  0.85100		 0.88540	ZU	           0.00	-535.89	-535.89
